Country,City,Latitude,Longitude
gr,karousades,39.7808333,19.7411111
br,tangua,-22.733333,-42.716667
mx,xico,19.416667,-97.0
hu,tomorkeny,46.617160999999996,20.043569
us,somers,41.9852778,-72.44666670000001
ua,poninka,50.184922,27.536289
hn,antigua ocotepeque,14.4,-89.2
in,vejalpur,22.683332999999998,73.56666700000001
es,verin,41.941548,-7.433917999999999
ph,santor,14.095491,121.108745
gb,prescot,53.416667000000004,-2.8
ph,idtig,6.798889,124.772778
ca,matagami,49.75,-77.633333
ro,victor vlad delamarina,45.640556,21.892778
us,barrington,41.74055560000001,-71.3091667
id,pameungpeuk,-6.669167,107.549722
jp,yoshii,36.25,138.98333300000002
ph,bukal,13.938056,121.38555600000001
us,apopka,28.6802778,-81.50972220000001
ph,seit,5.994904,121.212267
in,alur,12.983333,75.983333
ro,zimbor,47.0,23.266667
jp,obihiro,42.917221999999995,143.204444
mx,tlacoyalco,18.65,-97.583333
hn,la sarrosa,15.233333300000002,-87.83333329999999
tz,kitama,-10.7166667,39.7333333
br,orlandia,-20.716667,-47.883333
ph,curuan,7.2056759999999995,122.23304499999999
gb,gullane,56.033333,-2.816667
ru,chegem,43.283333,43.133333
sl,largo,8.2666667,-12.15
us,meridian,32.3641667,-88.70361109999999
hr,opatija,45.3391667,14.308333300000001
bo,santa rosa,-16.783333300000002,-61.8
ch,menziken,47.242487,8.19047
ru,vozrozhdeniye,52.6901,48.1879
it,alzano lombardo,45.733333,9.716667
ru,pyatovskiy,54.689080000000004,36.056338000000004
gr,mouzakion,37.7333333,20.8166667
pl,radlin,50.027632000000004,18.447699
us,west mifflin,40.3633333,-79.8666667
br,pacaembu,-21.566667000000002,-51.283333
ph,los angeles,9.0125,125.608056
co,sabaneta,6.15,-75.6
ru,bystrogorskiy,48.208134,41.140966999999996
kz,turkistan,43.333333,68.25
ht,saint-raphael,19.4333333,-72.2
se,orebro,59.283333,15.216667000000001
kz,kushmurun,52.450278000000004,64.631111
br,frei paulo,-10.55,-37.533333
it,noceto,44.8,10.183333
us,berea,41.366111100000005,-81.8544444
gh,sekondi,4.9333333,-1.7
br,formosa,-15.533332999999999,-47.333333
in,rayachoti,14.05,78.75
ro,sanislau,47.633333,22.333333
ru,russkiy aktash,55.0384,52.1214
ph,tamugan,7.2308330000000005,125.37638899999999
ro,loamnes,45.933333000000005,24.1
pe,matucana,-11.85,-76.4
fr,valenton,48.74527,2.4646689999999998
ie,roscrea,52.951111100000006,-7.8016667
la,luang prabang,19.885556,102.134722
cz,ustek,50.58494,14.345113000000001
mx,indaparapeo,19.783333,-100.966667
ru,brusyanskiy,53.984922,38.035934000000005
ru,korsakovo,53.267665,37.35689
it,orbetello,42.45,11.216667
us,menlo park,37.453888899999995,-122.18111110000001
fr,toulouse,43.599515999999994,1.433188
ru,zhirnovsk,50.984482,44.773474
rs,novi pazar,43.136666999999996,20.512222
in,badgam,34.016667,74.716667
in,daitari,21.1,85.75
af,kabul,34.516667,69.18333299999999
ph,bintakay,13.4986,121.8768
ro,scheia,46.933333000000005,27.516666999999998
pe,ramon castilla,-4.2569444,-69.9594444
us,charleston,39.4961111,-88.17611109999999
us,centennial,39.5791667,-104.8763889
ua,zarechye,48.521440000000005,24.64857
ki,bairiki,1.3166666999999999,172.9666667
ru,vad,55.530088,44.211366
us,youngstown,41.0997222,-80.64972220000001
py,itape,-25.85,-56.61666700000001
se,vasterhaninge,59.11666700000001,18.1
ro,curtisoara,44.5,24.333333
si,sempeter,45.9275,13.6411111
cz,rudolfov,48.989583,14.542241
in,basirhat,22.657222,88.89416700000001
ru,rasskazovo,52.655986,41.884609999999995
jp,kasaoka,34.5,133.5
al,gramsh,40.8697222,20.1844444
ph,inapatan,13.3964,123.3227
co,coello,4.289084,-74.898248
ro,corbu,44.383333,28.65
pl,pyrzyce,53.145647,14.892897
gb,margate,51.383333,1.416667
gp,gourbeyre,15.983333300000002,-61.6833333
ph,tomas oppus,10.250556,124.983056
fr,saint-claude,46.390153000000005,5.863737
ru,oyskhara,43.264016,46.248027
mx,aldama,20.816667000000002,-101.31666700000001
gr,petrokhorion,41.1166667,24.8333333
co,valparaiso,5.615003,-75.624218
it,albenga,44.05,8.216667
cz,domazlice,49.441403,12.925536
mx,tecoman,18.913889,-103.905556
br,cachoeirinha,-8.483333,-36.233333
rs,crvenka,45.658611,19.455556
iq,baghdad,33.3386111,44.39388889999999
gr,loutrakion,37.9833333,22.966666699999998
at,radstadt,47.383333,13.45
in,mahbubnagar,16.733333,77.983333
co,carmen de carupa,5.348619,-73.90168299999999
ee,karksi,58.103333299999996,25.562777800000003
ru,tymovskoye,50.845556,142.655
cn,laohekou,32.385833,111.667778
ro,darmanesti,47.733333,26.15
mx,teacalco,19.240278,-98.306944
in,gadag,15.416667000000002,75.616667
td,beboto,8.2666667,16.9333333
eg,suez,29.9666667,32.55
us,brunswick,43.914444399999994,-69.9658333
ro,pardosi,45.366667,26.9
fr,montesson,48.909238,2.137539
in,ara,25.566667000000002,84.666667
mx,ebano,22.216667,-98.383333
ph,san sebastian,13.7283,123.5939
nl,drimmelen,51.7,4.783333
cz,studenka,49.719889,18.074529000000002
cn,wufeng,27.45,104.833333
ca,maple creek,49.916667,-109.46666699999999
pl,pabianice,51.655351,19.345602
ph,malolos,14.841944,120.81166699999999
us,liberty,30.0577778,-94.7952778
in,chakia,26.416666999999997,85.05
us,terrytown,29.91,-90.0325
